Correlation	Trait1: INIA_Hyp_RMA_1110::10406564	Trait2: INIA_Hyp_RMA_1110::10488816	Trait3: INIA_Hyp_RMA_1110::10374983	Trait4: INIA_Hyp_RMA_1110::10477595	Trait5: INIA_Hyp_RMA_1110::10362676	Trait6: INIA_Hyp_RMA_1110::10601705	Trait7: INIA_Hyp_RMA_1110::10384956	Trait8: INIA_Hyp_RMA_1110::10410984	Trait9: INIA_Hyp_RMA_1110::10540359	Trait10: INIA_Hyp_RMA_1110::10578683	Trait11: INIA_Hyp_RMA_1110::10384940	Trait12: INIA_Hyp_RMA_1110::10374998	Trait13: INIA_Hyp_RMA_1110::10477604	Trait14: INIA_Hyp_RMA_1110::10576610	Trait15: INIA_Hyp_RMA_1110::10374934	Trait16: INIA_Hyp_RMA_1110::10410995	Trait17: INIA_Hyp_RMA_1110::10430458	Trait18: INIA_Hyp_RMA_1110::10422272	Trait19: INIA_Hyp_RMA_1110::10601701	Trait20: INIA_Hyp_RMA_1110::10606658	Trait21: INIA_Hyp_RMA_1110::10410975	Trait22: BXDPublish::18069	Trait23: BXDPublish::11911	Trait24: BXDPublish::11007	Trait25: BXDPublish::11010	Trait26: BXDPublish::11009	Trait27: BXDPublish::11011	Trait28: BXDPublish::10873	Trait29: BXDPublish::10879	Trait30: BXDPublish::10878	
Trait 1: INIA_Hyp_RMA_1110::10406564: Acot12 on Chr 13 @ 91.741518 Mb : acyl-CoA thioesterase 12 : 	1.000	-0.011	-0.156	0.206	0.024	0.005	-0.231	0.026	-0.261	-0.185	-0.130	0.032	-0.323	-0.015	-0.227	-0.344	0.148	0.052	-0.096	-0.096	-0.153	-0.119	0.097	0.350	-0.282	-0.381	0.194	---	0.071	0.229	
Trait 2: INIA_Hyp_RMA_1110::10488816: Ahcy on Chr 2 @ 155.05931 Mb : S-adenosylhomocysteine hydrolase : 	0.003	1.000	0.074	0.173	0.166	0.217	0.489	0.118	-0.044	0.531	-0.251	-0.328	0.141	0.233	-0.488	0.009	0.276	0.413	0.314	0.377	0.044	-0.094	0.064	0.162	-0.003	-0.015	0.029	---	-0.268	-0.144	
Trait 3: INIA_Hyp_RMA_1110::10374983: Asb3 on Chr 11 @ 30.885462 Mb : ankyrin repeat and SOCS box-containing 3 : 	-0.204	0.074	1.000	-0.121	0.214	0.148	0.027	0.004	0.279	0.002	0.184	0.157	0.308	0.107	-0.272	0.210	0.056	0.194	0.046	0.193	0.076	0.045	0.212	0.365	0.232	0.200	0.206	---	0.241	0.324	
Trait 4: INIA_Hyp_RMA_1110::10477595: Asip on Chr 2 @ 155.013531 Mb : agouti-signaling protein : 	0.144	0.132	-0.101	1.000	-0.057	0.056	-0.112	0.371	-0.355	0.219	-0.515	-0.168	-0.098	0.184	-0.499	0.002	0.371	0.297	0.246	-0.113	-0.643	-0.289	0.130	-0.179	-0.224	-0.169	-0.371	---	-0.010	-0.083	
Trait 5: INIA_Hyp_RMA_1110::10362676: Cdk19 on Chr 10 @ 40.349308 Mb : cyclin-dependent kinase 19, transcript variant 2 : 	-0.011	0.182	0.279	-0.058	1.000	0.284	0.398	0.025	0.434	0.406	-0.137	-0.187	0.508	0.537	-0.252	0.035	0.370	0.054	0.241	0.456	0.099	0.275	-0.035	0.285	0.041	0.278	0.538	---	-0.032	-0.426	
Trait 6: INIA_Hyp_RMA_1110::10601705: Cenpi on Chr X @ 134.308155 Mb : centromere protein I : 	0.008	0.174	0.147	0.070	0.227	1.000	0.191	0.191	0.094	0.306	-0.202	-0.006	0.296	0.341	-0.150	-0.071	0.270	0.152	0.038	0.219	-0.074	0.024	-0.157	0.289	0.236	0.508	0.195	---	0.291	-0.065	
Trait 7: INIA_Hyp_RMA_1110::10384956: Chac2 on Chr 11 @ 30.976707 Mb : ChaC, cation transport regulator homolog 2 (E. coli) : 	-0.205	0.510	0.061	-0.154	0.449	0.145	1.000	0.031	0.314	0.467	-0.140	-0.118	0.275	0.227	-0.163	-0.030	0.199	0.093	0.283	0.554	0.146	0.102	0.107	0.342	0.039	0.108	0.245	---	-0.726	-0.038	
Trait 8: INIA_Hyp_RMA_1110::10410984: Ckmt2 on Chr 13 @ 91.853387 Mb : creatine kinase, mitochondrial 2 : 	0.039	0.064	0.075	0.402	-0.021	0.202	-0.069	1.000	-0.128	0.179	-0.295	-0.217	0.007	0.201	-0.460	-0.083	0.342	0.286	0.078	0.160	-0.436	-0.183	0.151	0.300	0.244	0.306	0.003	---	0.026	-0.047	
Trait 9: INIA_Hyp_RMA_1110::10540359: Cntn4 on Chr 6 @ 105.677776 Mb : contactin 4 : 	-0.257	-0.088	0.316	-0.313	0.443	0.089	0.282	-0.232	1.000	0.063	0.117	0.037	0.348	0.089	0.212	-0.079	-0.173	-0.054	-0.087	0.371	0.221	0.496	0.095	0.171	-0.097	0.481	0.274	---	-0.147	0.112	
Trait 10: INIA_Hyp_RMA_1110::10578683: Eif2s2 on Chr 8 @ 52.196061 Mb : eukaryotic translation initiation factor 2, subunit 2 (beta) : 	-0.214	0.594	0.049	0.159	0.450	0.175	0.539	0.144	0.037	1.000	-0.186	-0.621	0.264	0.465	-0.347	0.329	0.091	0.290	0.622	0.308	-0.195	-0.067	-0.059	0.238	-0.374	0.172	0.265	---	-0.412	-0.197	
