Correlation	Trait1: BXDPublish::18069	Trait2: BXDPublish::11911	Trait3: BXDPublish::11007	Trait4: BXDPublish::11010	Trait5: BXDPublish::11009	Trait6: BXDPublish::11011	Trait7: BXDPublish::10873	Trait8: BXDPublish::10879	Trait9: BXDPublish::10878	Trait10: INIA_AmgCoh_0311::10406564	Trait11: INIA_AmgCoh_0311::10439762	Trait12: INIA_AmgCoh_0311::10488816	Trait13: INIA_AmgCoh_0311::10501143	Trait14: INIA_AmgCoh_0311::10374983	Trait15: INIA_AmgCoh_0311::10477595	Trait16: INIA_AmgCoh_0311::10362676	Trait17: INIA_AmgCoh_0311::10601705	Trait18: INIA_AmgCoh_0311::10384956	Trait19: INIA_AmgCoh_0311::10410984	Trait20: INIA_AmgCoh_0311::10540359	Trait21: INIA_AmgCoh_0311::10578683	Trait22: INIA_AmgCoh_0311::10488806	Trait23: INIA_AmgCoh_0311::10384940	Trait24: INIA_AmgCoh_0311::10374998	Trait25: INIA_AmgCoh_0311::10338859	Trait26: INIA_AmgCoh_0311::10342533	Trait27: INIA_AmgCoh_0311::10342725	Trait28: INIA_AmgCoh_0311::10338430	Trait29: INIA_AmgCoh_0311::10338700	Trait30: INIA_AmgCoh_0311::10338292	Trait31: INIA_AmgCoh_0311::10477604	Trait32: INIA_AmgCoh_0311::10576610	Trait33: INIA_AmgCoh_0311::10374934	Trait34: INIA_AmgCoh_0311::10410995	Trait35: INIA_AmgCoh_0311::10430458	Trait36: INIA_AmgCoh_0311::10422272	Trait37: INIA_AmgCoh_0311::10601701	Trait38: INIA_AmgCoh_0311::10606658	Trait39: INIA_AmgCoh_0311::10410975	
Trait 1: BXDPublish::18069: PubMed 27277803: RecordID/18069 : Phenotype: Central nervous system, behavior, learning and memory: Fear conditioning acquisition, freezing response time following the final CS-US pairing during training in adult males (USC) and adult males and females (NIH) [%]. : 	1.000	-0.270	0.002	0.571	0.509	0.549	0.033	0.102	0.288	0.119	-0.020	-0.014	-0.000	-0.133	0.050	-0.323	0.289	-0.104	-0.132	-0.007	-0.066	-0.020	0.152	-0.243	0.153	0.015	0.234	0.358	0.122	-0.177	-0.389	-0.316	0.068	-0.034	-0.162	0.057	0.139	0.030	0.087	
Trait 2: BXDPublish::11911: PubMed 19958391: RecordID/11911 : Phenotype: Central nervous system, behavior: Fear conditioning response, activity during first tone-shock pairing for males and females [units] : 	-0.335	1.000	0.044	-0.332	-0.431	0.086	0.200	-0.230	-0.296	-0.157	0.053	-0.091	-0.007	0.026	0.098	-0.226	-0.065	0.215	-0.180	0.147	0.008	-0.004	0.032	-0.157	0.055	-0.026	-0.173	-0.088	0.066	0.007	-0.093	-0.042	-0.081	0.033	-0.143	0.064	0.046	-0.089	-0.112	
Trait 3: BXDPublish::11007: PubMed 18830130: RecordID/11007 : Phenotype: Central nervous system, behavior, auditory system: Startle response to loud acoustic stimulus [force] : 	0.111	-0.063	1.000	0.127	0.084	0.097	---	-0.286	-0.393	0.090	-0.306	-0.137	0.326	0.009	-0.032	0.097	0.326	-0.149	0.076	---	0.071	-0.218	0.279	-0.050	0.218	-0.150	-0.003	0.135	0.056	0.150	0.074	0.097	-0.224	-0.165	0.274	0.159	-0.117	0.215	-0.356	
Trait 4: BXDPublish::11010: PubMed 18830130: RecordID/11010 : Phenotype: Central nervous system, behavior, learning and memory: Fear conditioning, freezing response time to conditioned cue after 24 hours [%] : 	0.553	-0.275	0.127	1.000	0.567	0.465	---	0.714	-0.393	0.115	-0.300	-0.030	0.574	-0.065	-0.097	-0.059	0.329	-0.140	0.241	-0.226	-0.235	-0.418	0.079	0.065	-0.285	-0.209	0.256	-0.106	0.344	-0.100	-0.475	0.021	0.111	-0.410	0.494	-0.271	-0.085	0.221	-0.747	
Trait 5: BXDPublish::11009: PubMed 18830130: RecordID/11009 : Phenotype: Central nervous system, behavior, learning and memory: Fear conditioning, freezing response time to conditioned cue after 48 hours [%] : 	0.488	-0.334	0.153	0.461	1.000	0.332	---	0.741	-0.312	0.348	-0.281	-0.556	-0.221	-0.238	-0.147	-0.315	0.354	-0.070	-0.257	0.409	-0.149	-0.135	0.160	-0.275	0.068	0.281	0.215	-0.074	-0.128	0.060	-0.135	-0.506	0.229	0.354	-0.004	-0.269	-0.024	-0.254	-0.372	
Trait 6: BXDPublish::11011: PubMed 18830130: RecordID/11011 : Phenotype: Central nervous system, behavior, learning and memory: Fear conditioning, freezing response to context after 48 hours [%] : 	0.462	0.063	0.014	0.473	0.378	1.000	---	0.286	-0.607	-0.077	-0.415	-0.057	0.441	-0.121	-0.294	-0.159	0.074	-0.302	-0.368	-0.256	0.009	-0.165	0.038	-0.141	0.468	0.485	-0.053	0.103	0.235	-0.126	0.056	-0.029	0.102	0.011	0.203	-0.285	0.067	0.171	-0.041	
Trait 7: BXDPublish::10873: PubMed 18185497: RecordID/10873 : Phenotype: Endocrinology, blood chemistry: Corticosterone in plasma, baseline control level [ng/ml] : 	-0.092	0.257	---	---	---	---	1.000	-0.667	-0.617	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	
Trait 8: BXDPublish::10879: PubMed 17131200: RecordID/10879 : Phenotype: Central nervous system, morphology: Amygdala, basolateral complex (LaDL, LaVL, LaVM, BLP, and BLA), glial cell density [n/mm^3] : 	0.085	0.065	-0.101	0.836	0.560	0.359	-0.699	1.000	0.203	-0.097	-0.491	-0.021	0.559	0.447	0.001	0.306	0.165	-0.071	-0.085	-0.343	0.182	-0.379	0.503	-0.480	0.374	0.329	-0.118	-0.141	0.421	-0.507	0.168	0.438	0.512	0.009	0.397	-0.082	0.406	0.282	0.026	
Trait 9: BXDPublish::10878: PubMed 17131200: RecordID/10878 : Phenotype: Central nervous system, morphology: Amygdala, basolateral complex (LaDL, LaVL, LaVM, BLP, and BLA), neuron cell density [n/mm^3] : 	0.298	-0.213	-0.326	-0.474	-0.286	-0.647	-0.657	0.111	1.000	0.082	-0.132	0.205	0.076	-0.135	0.399	0.141	0.203	-0.026	0.262	0.302	-0.074	-0.092	0.015	0.120	-0.353	0.112	0.321	0.059	0.259	-0.045	-0.062	0.206	0.450	0.194	-0.115	-0.079	0.274	0.271	0.356	
Trait 10: INIA_AmgCoh_0311::10406564: Acot12 on Chr 13 @ 91.741518 Mb : acyl-CoA thioesterase 12 : 	0.101	0.049	-0.013	0.111	0.247	0.064	---	-0.094	0.065	1.000	-0.264	-0.031	-0.098	-0.107	0.138	0.167	-0.086	-0.264	0.177	-0.067	-0.206	-0.096	0.221	0.147	-0.322	-0.116	0.032	-0.155	-0.310	-0.033	-0.167	-0.142	0.117	-0.003	0.134	-0.134	-0.026	-0.026	-0.305	
